country_code,co,o3,pm10,pm25,so2,country,gdp_per_capita,che_per_capita_usd,both_sex_life_exp,fem_life_exp,male_life_exp,poverty_rate,cig_percent
AT,231.13638908715976,85.30788811920482,15.820250925316428,8.945113569847924,2.1288316448567652,Austria,54297.0,4972.0,81.315,83.535,79.02,13.3,29.1
AU,279.9069297043274,0.013374206490186735,551.7336170255911,5.264174282954377,0.0013692183761365448,Australia,48484.0,5602.0,82.66,84.505,80.83,12.4,16.2
BA,676.4545454545455,25.561764705882354,62.52,18.623076923076923,32.565714285714286,Bosnia and Herzegovina,13772.0,3863.0,76.535,78.87,74.16,16.9,38.3
BE,209.92516421291054,49.806263858093125,19.6640986680687,11.45853400893164,1.7766639276910434,Belgium,50560.0,4770.0,81.065,83.185,78.885,14.8,25.0
BG,442.81679672984023,50.43759287925696,19.693200335113623,8.370665154950869,12.093272043010751,Bulgaria,21534.0,6192.0,74.81,78.32,71.41,23.8,38.9
BR,0.4925925925925926,35.08960209119954,28.439280018227386,14.346301670719273,3.7307187397440105,Brazil,14694.0,8458.0,75.515,79.015,72.06,26.5,16.5
CA,0.15031638894747942,0.03245952472266019,8.162158713957643,4.5577319873537085,0.00037510356255178126,Canada,48286.0,4877.0,82.0,83.815,80.14,11.6,17.5
CH,216.375117370892,49.882222934232715,13.312314886731391,9.526094835680752,0.7010556701030928,Switzerland,69467.0,9593.0,83.03,84.78999999999999,81.195,16.0,25.1
CL,11399.933461538461,39.54601219512195,62.08046467825997,41.92994509131605,19.35155879140555,Chile,24688.0,1301.0,80.28,82.88,77.535,8.6,44.7
CN,648.7157434402333,129.8226433430515,41.43780369290573,25.989269746646794,7.429057337220603,China,14273.0,4555.0,77.035,80.18,74.28999999999999,0.6,24.7
CO,0.8233687846153847,0.010918239892857142,47.688076413043476,17.690126576595745,0.002630343883333333,Colombia,14272.0,4901.0,78.83,81.44,76.16,35.7,7.9
DE,219.77634918989835,50.20017371782695,14.970589087797778,9.756536872478652,2.623714297431851,Germany,52705.0,5083.0,81.07,83.74,78.42,14.8,28.0
DK,163.03091738469337,73.9129307715767,19.177220394736842,8.012322274881516,0.5034516129032258,Denmark,55155.0,5856.0,80.955,82.685,79.195,12.5,18.6
EE,187.88257142857145,46.280833333333334,12.691665,7.312107142857142,0.4085949941176471,Estonia,33674.0,1376.0,78.24,82.155,73.86500000000001,21.7,30.5
ES,296.9105457160838,59.576294767735135,19.295985302291115,9.068832978723405,3.5223924510041136,Spain,39289.0,2541.0,82.775,85.31,80.17,20.7,27.9
FR,210.05283783783784,68.02769757216593,17.778589743589745,9.060784588754924,3.241324575147644,France,44586.0,4410.0,82.195,84.905,79.375,13.6,34.6
GR,523.8136324417601,69.45604855588113,31.280903854674346,13.399641577060931,6.215400100654253,Greece,28789.0,1535.0,80.74,83.255,78.245,17.9,39.1
HR,185.82554517133957,75.26259673258814,18.84493198771391,11.245843045843046,5.7009622406639,Croatia,27102.0,5488.0,78.11,81.16499999999999,74.92,18.3,36.6
HU,526.0520721363637,59.926548506638206,18.474189011399943,12.614601087155346,3.6379159635239144,Hungary,29785.0,5965.0,76.005,79.16,72.625,12.3,30.6
IE,172.3272411231829,64.48425720607459,12.614294492948718,7.568328645938603,2.809887835050879,Ireland,78357.0,5039.0,81.49000000000001,83.20500000000001,79.765,13.1,23.6
IN,809.8015096589749,37.38329513155809,150.1225918321492,65.86189289323003,206.72061901258593,India,6146.0,3808.0,70.05000000000001,71.39500000000001,68.815,21.9,27.0
IT,416.01905516780374,75.70319986661193,19.5026321997923,17.30112402675732,3.4112023514172938,Italy,41484.0,2820.0,82.59,84.58000000000001,80.455,20.1,23.4
LT,226.31174719441668,58.9202989392668,19.88952468162706,8.705529946728111,5.837023281666666,Lithuania,33810.0,4557.0,75.185,79.95,70.16,20.6,27.1
LU,226.24347826086955,73.62185929648241,24.767023718439173,10.578490566037736,2.7471186440677964,Luxembourg,115204.0,5811.0,82.36,84.245,80.44,17.5,21.7
LV,0.21,73.28275381483871,16.064796904900064,6.1086111117333335,5.393933633609577,Latvia,28775.0,5623.0,75.09,79.565,70.255,22.9,36.7
MN,151.5,28.25,181.9777777777778,22.04951923076923,39.55072463768116,Mongolia,11571.0,1621.0,67.85499999999999,72.445,63.635000000000005,28.4,27.6
MT,294.5110979381443,87.91419846889953,25.006371304347827,12.49305583126551,0.4407134491017964,Malta,42058.0,2562.0,81.77000000000001,83.69,79.785,17.1,25.1
MX,4.064915537023497,0.0427699819551765,55.97351775532364,23.6734756126706,0.004551982100683669,Mexico,19627.0,5298.0,75.94,78.735,73.11,41.9,13.9
NL,0.24571223776223777,63.27434110912784,19.919957526794267,10.700019568178043,0.9675372875476933,Netherlands,54951.0,5007.0,81.535,82.985,80.035,13.6,23.4
NO,153.80634318181816,68.61860305846967,14.991138675700013,5.117164406043493,15.907760806290565,Norway,63774.0,7831.0,82.315,83.91999999999999,80.67,12.7,13.0
PE,1175.2966992882561,1.831829174852652,75.4106064618644,39.87726043099495,6.133965144318597,Peru,12531.0,3369.0,79.49000000000001,80.95,78.005,20.2,9.6
PL,376.54305154204104,68.23112043221806,23.861777790476427,12.732698061607287,5.272761131532787,Poland,30281.0,5767.0,77.78,81.54,73.945,15.4,26.0
PT,219.02257609352952,75.90731133462737,18.284254751060153,6.011617231638419,5.059590491880442,Portugal,32999.0,2020.0,81.22999999999999,84.035,78.24000000000001,17.2,27.9
RS,298.9775699440448,79.52737777626193,20.473075176837728,12.074813765603329,8.655347979680696,Serbia,16826.0,4349.0,75.53999999999999,78.02000000000001,73.07499999999999,23.2,40.6
SE,352.36679253456225,68.48290696755784,16.042179535768067,5.027305936664785,1.3485714222222223,Sweden,51882.0,5755.0,82.075,83.735,80.4,17.1,8.0
TH,0.652719651425735,0.023427592660673104,37.04307295987425,18.503240417622173,0.0023539396773439324,Thailand,17408.0,2091.0,77.555,80.87,74.245,9.9,22.8
ZA,0.747326143004469,0.020323783226119677,40.27532480270061,22.661500299907303,0.00667357947845805,South Africa,13871.0,5238.0,63.91,66.815,61.010000000000005,55.5,31.4
